Stock,Date,Info,Sentiment Score
MSFT,2020-08-12,"[""former facebook chief privacy officer chris kelly weighs tiktok security concerns potential microsoft acquisition president trump’s bytedance executive order"",""former facebook chief privacy officer chris kelly weighs tiktok security concerns potential microsoft acquisition president trump’s bytedance executive order"",null,null,null,null,null,null,null,null,null,null,""microsoft android phone two screens launches sept 10 1 400"",null,null,null,null,null,null,null,null,null,null,""microsoft delaying release “halo infinite” game sometime 2021"",null,null,null,""delay release latest installment blockbuster ‘halo’ gaming franchise could hurt microsoft’s new xbox launch"",""san francisco — facebook google major tech companies said wednesday added new partners met government agencies efforts secure november election"",null,null,null,null]",0.4148567318916321
MSFT,2020-08-13,[],0.41459648801831256
MSFT,2020-08-14,[],0.41459648801831256
MSFT,2020-08-17,[],0.41459648801831256
MSFT,2020-08-18,[],0.41459648801831256
MSFT,2020-08-19,"[""oracle joins microsoft twitter battle tiktok two traders place bets orcl msft twtr via tradingnation"",""today nintendo part crowded video game market competes sony microsoft apple google company around 130 years able stay relevant long"",null,null,null,null,null,null,null,null,null,null,""rally technology stocks elevated amp p 500 stock index record high apple amazon alphabet microsoft facebook constitute 20 percent stock market’s total worth level seen single industry least 70 years"",null,null,null,null,null,null,null,null,null,null,""apple amazon alphabet facebook microsoft account 20 percent stock market’s total worth level seen single industry least 70 years"",null,null,null,""apple amazon alphabet facebook microsoft account 20 percent stock market’s total worth level seen single industry least 70 years"",""apple amazon alphabet facebook microsoft account 20 percent stock market’s total worth level seen single industry least 70 years"",""flying recently los angeles temuco largest city araucanía region chile got thinking — one inevitably globe spanning flights — fallacy maps"",""american tech titans flew high coronavirus pandemic making billions dollars year"",""washington — president trump said late tuesday would support oracle’s buying tiktok chinese owned viral video app administration says must sold next weeks"",""took apple 42 years reach 1 trillion value took two years get 2 trillion""]",0.4146323353052139
MSFT,2020-08-20,"[""microsoft backed start pivoted fitness app helping fortune 500 firms"",""obituary part series people died coronavirus pandemic read others"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4144798517227173
MSFT,2020-08-21,[],0.41459648801831256
MSFT,2020-08-24,[],0.41459648801831256
MSFT,2020-08-25,[],0.41459648801831256
